min_utility,Total time (ms),Memory (MB),high utility itemsets count,,,,min_utility,Total time (ms),Memory (MB),high utility itemsets count,,,,min_utility,Total time (ms),Memory (MB),high utility itemsets count,,min_utility,Total time (ms),Memory (MB),high utility itemsets count,,,min_utility,Total time (ms),Memory (MB),high utility itemsets count,,,,min_utility,Total time (ms),Memory (MB),high utility itemsets count,,,min_utility,Total time (ms),Memory (MB),high utility itemsets count,,,,,,min_utility,Total time (ms),Memory (MB),high utility itemsets count
1000000,2302,439.4754639,2,,,,1000000,2183,133.2900848,0,,,,1000000,3607,404.5498047,2,,1000000,1951,334.3803482,0,,,1000000,2175,427.6896362,2,,,,1000000,2115,172.4777222,0,,,1000000,1918,505.4670029,2,,,,,,1000000,1955,131.5463333,0
900000,3122,588.5814438,4,,,,900000,2210,191.3720856,0,,,,900000,5030,451.0019531,4,,900000,1919,337.5004883,0,,,900000,2128,312.4450226,4,,,,900000,2088,305.5871429,0,,,900000,1996,707.3134003,4,,,,,,900000,2000,249.6245346,0
800000,2930,670.0824203,5,,,,800000,2159,151.960144,1,,,,800000,5075,449.4291992,5,,800000,2125,326.4923325,1,,,800000,2248,333.2086792,5,,,,800000,2076,311.3757172,1,,,800000,1997,381.375946,5,,,,,,800000,2005,226.6461792,1
700000,2705,310.8282394,6,,,,700000,2169,269.6721191,1,,,,700000,5088,447.7109375,6,,700000,2140,301.4926758,1,,,700000,2253,267.0314789,6,,,,700000,2081,221.498642,1,,,700000,2001,582.3398132,6,,,,,,700000,2003,257.6359482,1
600000,2989,453.094574,8,,,,600000,2012,354.6462708,2,,,,600000,5042,525.4604492,8,,600000,2126,485.7840424,2,,,600000,2137,514.9578629,8,,,,600000,2116,262.0314941,2,,,600000,1998,784.3240662,8,,,,,,600000,2000,235.6414642,2
500000,2713,371.8522644,9,,,,500000,2109,136.149765,2,,,,500000,4887,521.7236328,9,,500000,2287,345.1963806,2,,,500000,2400,286.285759,9,,,,500000,2145,181.0700684,2,,,500000,2001,459.3417969,9,,,,,,500000,2007,245.6328125,2
400000,3022,369.3528442,16,,,,400000,2299,201.086998,3,,,,400000,4917,590.1123047,16,,400000,2251,388.1490173,3,,,400000,2330,333.3769531,16,,,,400000,2144,314.549057,3,,,400000,1996,663.317894,16,,,,,,400000,2010,224.6425476,3
300000,3106,337.3143539,24,,,,300000,2260,309.5459976,4,,,,300000,5134,450.2368164,24,,300000,2816,366.9492188,4,,,300000,2450,349.3588867,24,,,,300000,2164,209.5466309,4,,,300000,2014,353.1366577,24,,,,,,300000,2001,271.8823547,4
200000,3395,983.9749756,50,,,,200000,2390,661.5717773,6,,,,200000,5183,390.6269531,50,,200000,3422,373.0804825,6,,,200000,2604,326.340004,50,,,,200000,2195,231.0334473,6,,,200000,2026,596.990715,50,,,,,,200000,2011,277.3180237,6
100000,3546,1075.293068,121,,,,100000,2558,315.2677689,20,,,,100000,6420,1047.424255,121,,100000,3198,687.5103149,20,,,100000,3330,427.3029175,121,,,,100000,2257,333.1433411,20,,,100000,2072,352.9364548,121,,,,,,100000,2018,241.2427597,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kosarak,huim,,,,,,kosarak,round-huim,,,,,,kosarak,EFIM,,,,kosarak,round_EFIM,,,,,kosarak,ULB-Miner,,,,,,kosarak,round_ULB-Miner,,,,,kosarak,Hminer,,,,,,,,kosarak,round_Hminer,,
min_utility,Total time (ms),Memory (MB),high utility itemsets count,,,,min_utility,Total time (ms),Memory (MB),high utility itemsets count,,,,min_utility,Total time (ms),Memory (MB),high utility itemsets count,,min_utility,Total time (ms),Memory (MB),high utility itemsets count,,,min_utility,Total time (ms),Memory (MB),high utility itemsets count,,,,min_utility,Total time (ms),Memory (MB),high utility itemsets count,,,min_utility,Total time (ms),Memory (MB),high utility itemsets count,,,,,,min_utility,Total time (ms),Memory (MB),high utility itemsets count
10000000,2423,356.7415619,3,,,,10000000,2800,276.8150024,3,,,,10000000,2035,366.7306213,3,,10000000,2295,217.3565674,3,,,10000000,3042,232.0996246,3,,,,10000000,3253,165.4340973,3,,,10000000,3129,566.1499939,3,,,,,,10000000,3298,247.7376251,3
8000000,2504,388.1781006,4,,,,8000000,2994,246.4879608,3,,,,8000000,1991,571.7713013,4,,8000000,2561,543.6350861,3,,,8000000,3243,204.974472,4,,,,8000000,3479,200.7880554,3,,,8000000,3325,441.5081482,4,,,,,,8000000,3602,336.4784164,3
6000000,2766,569.223526,6,,,,6000000,3051,388,3,,,,6000000,2470,337.9804688,6,,6000000,2690,211.112793,3,,,6000000,3913,413.7471619,6,,,,6000000,3889,156.4649353,3,,,6000000,4079,437.3110809,6,,,,,,6000000,4045,239.051178,3
4000000,3236,316.5436935,13,,,,4000000,3373,334.0493088,7,,,,4000000,2936,301.8095703,13,,4000000,2940,277.4958954,7,,,4000000,6322,594.7299347,13,,,,4000000,5833,185.2085495,7,,,4000000,6037,1013.67392,13,,,,,,4000000,5807,555.5668793,7
2000000,5949,490.3619308,37,,,,2000000,4219,349.2112503,24,,,,2000000,5820,249.7348862,37,,2000000,4034,193.6126022,24,,,2000000,18261,927.707016,37,,,,2000000,14550,847.6273651,25,,,2000000,19089,1087.734253,37,,,,,,2000000,14545,768.6581421,24
1800000,10199,538.6680603,53,,,,1800000,4800,531.7109604,25,,,,1800000,12758,412.0297852,53,,1800000,4400,397.9111328,25,,,1800000,21453,910.9667969,53,,,,1800000,16267,729.0022202,25,,,1800000,22352,1409.633499,53,,,,,,1800000,16258,906.4691467,25
1600000,28493,469.6879654,57,,,,1600000,7646,378.9708252,31,,,,1600000,42401,437.6156235,57,,1600000,7846,198.4375992,31,,,1600000,28747,906.0206223,57,,,,1600000,19019,660.3306122,31,,,1600000,30655,1723.180588,57,,,,,,1600000,19527,1027.443031,31
1400000,52114,524.6157227,67,,,,1400000,14864,363.096344,33,,,,1400000,65865,461.9819107,67,,1400000,26125,215.0127487,33,,,1400000,37783,1282.915039,67,,,,1400000,23488,705.3654633,33,,,1400000,41412,2419.833252,67,,,,,,1400000,23953,2209.27211,33
1200000,126993,509.5882111,87,,,,1200000,30880,392.6027145,42,,,,1200000,90082,312.1352844,87,,1200000,46748,213.3596878,42,,,1200000,49062,986.8876953,87,,,,1200000,30955,802.6845703,42,,,1200000,58558,2808.028893,87,,,,,,1200000,33513,2650.804123,43
